id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId,imageId
1630492,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1630492,Luca Vildoza,luca-vildoza,6-3,190,,G,1610612752,nba/players/1630492
1628373,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1628373,Frank Ntilikina,frank-ntilikina,6-4,200,11,G,1610612752,nba/players/1628373
1630266,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),1630266,Will Magnay,will-magnay,6-10,234,25,C,,nba/players/1630266
1628396,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1628396,Tony Bradley,tony-bradley,6-10,248,13,C-F,1610612760,nba/players/1628396
1629660,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1629660,Ty Jerome,ty-jerome,6-5,195,16,G-F,1610612760,nba/players/1629660
1629718,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1629718,Charlie Brown Jr.,charlie-brown-jr,6-6,199,44,G,1610612760,nba/players/1629718
1628371,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),1628371,Jonathan Isaac,jonathan-isaac,6-11,230,1,F,1610612753,nba/players/1628371
203954,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),203954,Joel Embiid,joel-embiid,7-0,280,21,C-F,1610612755,nba/players/203954
1626164,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1626164,Devin Booker,devin-booker,6-5,206,1,G,1610612756,nba/players/1626164
1626163,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1626163,Frank Kaminsky,frank-kaminsky,7-0,240,8,F-C,1610612756,nba/players/1626163
1628380,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1628380,Zach Collins,zach-collins,6-11,250,33,F-C,1610612757,nba/players/1628380
1630186,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1630186,Jahmi'us Ramsey,jahmius-ramsey,6-3,190,3,G,1610612758,nba/players/1630186
202355,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),202355,Hassan Whiteside,hassan-whiteside,7-0,265,20,C,1610612758,nba/players/202355
1629022,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:21 GMT-0400 (Eastern Daylight Time),1629022,Lonnie Walker IV,lonnie-walker-iv,6-4,204,1,G-F,1610612759,nba/players/1629022
1629683,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:21 GMT-0400 (Eastern Daylight Time),1629683,Quinndary Weatherspoon,quinndary-weatherspoon,6-3,205,15,G,1610612759,nba/players/1629683
1630222,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),1630222,Mason Jones,mason-jones,6-4,200,9,G,,nba/players/1630222
1627751,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:21 GMT-0400 (Eastern Daylight Time),1627751,Jakob Poeltl,jakob-poeltl,7-1,245,25,C,1610612759,nba/players/1627751
1628384,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),1628384,OG Anunoby,og-anunoby,6-7,232,3,F,1610612761,nba/players/1628384
1626169,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),1626169,Stanley Johnson,stanley-johnson,6-6,242,5,F-G,1610612761,nba/players/1626169
1629067,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:23 GMT-0400 (Eastern Daylight Time),1629067,Isaac Bonga,isaac-bonga,6-8,180,17,G,1610612764,nba/players/1629067
1628383,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),1628383,Justin Patton,justin-patton,6-11,241,26,C,,nba/players/1628383
1628390,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),1628390,Terrance Ferguson,terrance-ferguson,6-6,190,23,G,,nba/players/1628390
203524,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),203524,Solomon Hill,solomon-hill,6-6,226,18,F,1610612737,nba/players/203524
1628381,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1628381,John Collins,john-collins,6-9,235,20,F-C,1610612737,nba/players/1628381
1629629,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1629629,Cam Reddish,cam-reddish,6-8,218,22,F-G,1610612737,nba/players/1629629
