id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
2868,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),2868,Casey Smith,Trainer,3,1610612742,nba/coaches/2868
2871,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),2871,Dionne Calhoun,Assistant Trainer,4,1610612742,nba/coaches/2871
201765,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),201765,Nate Bjorkgren,Head Coach,1,1610612754,nba/coaches/201765
2610,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),2610,Michael Malone,Head Coach,1,1610612743,nba/coaches/2610
203165,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203165,Bob Weiss,Assistant Coach,2,1610612743,nba/coaches/203165
203391,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203391,Ryan Bowen,Assistant Coach,2,1610612743,nba/coaches/203391
203759,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203759,Jordi Fernandez,Assistant Coach,2,1610612743,nba/coaches/203759
203600,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203600,David Adelman,Assistant Coach,2,1610612743,nba/coaches/203600
1335,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1335,Dwane Casey,Head Coach,1,1610612765,nba/coaches/1335
1336,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1336,Tim Grgurich,Assistant Coach,2,1610612765,nba/coaches/1336
204230,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),204230,Tim Hardaway,Assistant Coach,2,1610612765,nba/coaches/204230
201678,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),201678,Jim Scholler,Trainer,3,1610612765,nba/coaches/201678
1796,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1796,Ron Adams,Assistant Coach,2,1610612744,nba/coaches/1796
204260,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),204260,Bruce Fraser,Assistant Coach,2,1610612744,nba/coaches/204260
1786,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1786,John Lucas,Assistant Coach,2,1610612745,nba/coaches/1786
1630277,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1630277,Rick Higgins,Assistant Coach,2,1610612745,nba/coaches/1630277
1257,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1257,Keith Jones,Trainer,3,1610612745,nba/coaches/1257
203785,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),203785,Greg Foster,Assistant Coach,2,1610612754,nba/coaches/203785
203764,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),203764,Tyler Marsh,Assistant Coach,2,1610612754,nba/coaches/203764
1628782,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),1628782,Mike Weinar,Assistant Coach,2,1610612754,nba/coaches/1628782
101200,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),101200,Josh Corbeil,Trainer,3,1610612754,nba/coaches/101200
2345,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),2345,Frank Vogel,Head Coach,1,1610612747,nba/coaches/2345
1353,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),1353,Lionel Hollins,Assistant Coach,2,1610612747,nba/coaches/1353
203624,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),203624,Taylor Jenkins,Head Coach,1,1610612763,nba/coaches/203624
1628234,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),1628234,David McClure,Assistant Coach,2,1610612763,nba/coaches/1628234
1630018,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),1630018,Eric Oetter,Trainer,3,1610612763,nba/coaches/1630018
1787,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),1787,Erik Spoelstra,Head Coach,1,1610612748,nba/coaches/1787
2630,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:16 GMT-0400 (Eastern Daylight Time),2630,Bob Beyer,Assistant Coach,2,1610612740,nba/coaches/2630
1370,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1370,Roger Hinds,Trainer,3,1610612752,nba/coaches/1370
202859,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),202859,David Akinyooye,Assistant Coach,2,1610612760,nba/coaches/202859
1629758,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1629758,Dave Bliss,Assistant Coach,2,1610612760,nba/coaches/1629758
202427,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),202427,Jamahl Mosley,Head Coach,1,1610612753,nba/coaches/202427
1865,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1865,Randy Ayers,Assistant Coach,2,1610612756,nba/coaches/1865
201046,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),201046,Lindsey Harding,Assistant Coach,2,1610612758,nba/coaches/201046
1018,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:23 GMT-0400 (Eastern Daylight Time),1018,Wes Unseld,Head Coach,1,1610612764,nba/coaches/1018
203535,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),203535,Brad Stevens,Head Coach,1,1610612738,nba/coaches/203535
202979,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),202979,Jamie Young,Assistant Coach,2,1610612738,nba/coaches/202979
1831,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:04 GMT-0400 (Eastern Daylight Time),1831,Marlon Garnett,Assistant Coach,2,1610612737,nba/coaches/1831
203152,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),203152,Ime Udoka,Head Coach,1,1610612738,nba/coaches/203152
1627329,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:05 GMT-0400 (Eastern Daylight Time),1627329,Scott Morrison,Assistant Coach,2,1610612738,nba/coaches/1627329
1628803,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:06 GMT-0400 (Eastern Daylight Time),1628803,Ryan Forehan-Kelly,Assistant Coach,2,1610612751,nba/coaches/1628803
204286,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),204286,Stephen Spiro,Trainer,3,1610612739,nba/coaches/204286
1630496,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:08 GMT-0400 (Eastern Daylight Time),1630496,Jenny Coucek,Assistant Coach,2,1610612742,nba/coaches/1630496
202894,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),202894,Charles Klask,Assistant Coach,2,1610612743,nba/coaches/202894
1627167,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),1627167,Dan Shimensky,Trainer,3,1610612743,nba/coaches/1627167
204085,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),204085,Sean Sweeney,Assistant Coach,2,1610612765,nba/coaches/204085
204005,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),204005,Steve Kerr,Head Coach,1,1610612744,nba/coaches/204005
201690,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),201690,Kenny Atkinson,Assistant Coach,2,1610612744,nba/coaches/201690
1628227,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1628227,Drew Yoder,Trainer,3,1610612744,nba/coaches/1628227
2205,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),2205,DeSagana Diop,Assistant Coach,2,1610612745,nba/coaches/2205
202898,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),202898,Jeff Hornacek,Assistant Coach,2,1610612745,nba/coaches/202898
202431,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),202431,Jason Biles,Trainer,3,1610612745,nba/coaches/202431
1320,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),1320,Rick Carlisle,Head Coach,1,1610612754,nba/coaches/1320
202603,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),202603,Lloyd Pierce,Lead Assistant Coach,13,1610612754,nba/coaches/202603
100616,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),100616,Jenny Boucek,Assistant Coach,2,1610612754,nba/coaches/100616
202978,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),202978,Tyronn Lue,Head Coach,1,1610612746,nba/coaches/202978
1628472,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),1628472,Miles Simon,Assistant Coach,2,1610612747,nba/coaches/1628472
1629748,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),1629748,Quinton Crawford,Assistant Coach,2,1610612747,nba/coaches/1629748
201336,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),201336,Blake Ahearn,Assistant Coach,2,1610612763,nba/coaches/201336
2406,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),2406,Caron Butler,Assistant Coach,2,1610612748,nba/coaches/2406
201682,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),201682,Octavio De La Grana,Assistant Coach for Player Development,12,1610612748,nba/coaches/201682
1628784,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:15 GMT-0400 (Eastern Daylight Time),1628784,Pat St. Andrews,Assistant Coach,2,1610612749,nba/coaches/1628784
974,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:15 GMT-0400 (Eastern Daylight Time),974,Joseph Blair,Assistant Coach,2,1610612750,nba/coaches/974
100101,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:16 GMT-0400 (Eastern Daylight Time),100101,Teresa Weatherspoon,Assistant Coach,2,1610612740,nba/coaches/100101
203243,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:16 GMT-0400 (Eastern Daylight Time),203243,Casey Hill,Assistant Coach,2,1610612740,nba/coaches/203243
2366,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),2366,Mike Wilks,Assistant Coach,2,1610612760,nba/coaches/2366
1629423,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1629423,Donnie Strack,Trainer,3,1610612760,nba/coaches/1629423
202891,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),202891,Nate Tibbetts,Assistant Coach,2,1610612753,nba/coaches/202891
1941,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1941,Doc Rivers,Head Coach,1,1610612755,nba/coaches/1941
201220,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),201220,David Joerger,Assistant Coach,2,1610612755,nba/coaches/201220
202434,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),202434,Popeye Jones,Assistant Coach,2,1610612755,nba/coaches/202434
1629169,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1629169,Brian Adams,Assistant Coach,2,1610612755,nba/coaches/1629169
1629427,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1629427,Brian Randle,Assistant Coach,2,1610612756,nba/coaches/1629427
1629410,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1629410,David Crewe,Trainer,3,1610612756,nba/coaches/1629410
1497,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1497,Chauncey Billups,Head Coach,1,1610612757,nba/coaches/1497
2623,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),2623,Scott Brooks,Assistant Coach,2,1610612757,nba/coaches/2623
1627471,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1627471,Jim Moran,Assistant Coach,2,1610612757,nba/coaches/1627471
1628240,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1628240,John McCullough,Assistant Coach,2,1610612757,nba/coaches/1628240
101272,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),101272,Geoff Clark,Trainer,3,1610612757,nba/coaches/101272
204012,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),204012,Luke Walton,Head Coach,1,1610612758,nba/coaches/204012
278,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),278,Stacey Augmon,Assistant Coach,2,1610612758,nba/coaches/278
1672,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1672,Rex Kalamian,Assistant Coach,2,1610612758,nba/coaches/1672
