id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId,imageId
203501,Mon Aug 09 2021 04:15:02 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:16 GMT-0600 (Mountain Daylight Time),203501,Tim Hardaway Jr.,tim-hardaway-jr,6-5,205,11,G-F,1610612742,nba/players/203501
1630207,Mon Aug 09 2021 04:15:05 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:18 GMT-0600 (Mountain Daylight Time),1630207,Nate Hinton,nate-hinton,6-5,210,14,G-F,1610612742,nba/players/1630207
1628467,Mon Aug 09 2021 04:15:09 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:21 GMT-0600 (Mountain Daylight Time),1628467,Maxi Kleber,maxi-kleber,6-10,240,42,F,1610612742,nba/players/1628467
203999,Mon Aug 09 2021 04:15:12 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:42 GMT-0600 (Mountain Daylight Time),203999,Nikola Jokic,nikola-jokic,6-11,284,15,C,1610612743,nba/players/203999
1630192,Mon Aug 09 2021 04:15:17 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:43 GMT-0600 (Mountain Daylight Time),1630192,Zeke Nnaji,zeke-nnaji,6-9,240,22,F-C,1610612743,nba/players/1630192
1630240,Mon Aug 09 2021 04:15:21 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:12 GMT-0600 (Mountain Daylight Time),1630240,Saben Lee,saben-lee,6-2,183,38,G,1610612765,nba/players/1630240
1630180,Mon Aug 09 2021 04:15:23 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:13 GMT-0600 (Mountain Daylight Time),1630180,Saddiq Bey,saddiq-bey,6-7,215,41,F,1610612765,nba/players/1630180
1629635,Mon Aug 09 2021 04:15:24 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:14 GMT-0600 (Mountain Daylight Time),1629635,Sekou Doumbouya,sekou-doumbouya,6-8,230,45,F,1610612765,nba/players/1629635
1629686,Mon Aug 09 2021 04:15:25 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:15 GMT-0600 (Mountain Daylight Time),1629686,Deividas Sirvydis,deividas-sirvydis,6-8,190,91,F-G,1610612765,nba/players/1629686
1630185,Mon Aug 09 2021 04:15:26 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:26 GMT-0600 (Mountain Daylight Time),1630185,Nico Mannion,nico-mannion,6-2,190,2,G,1610612744,nba/players/1630185
