id,createdAt,updatedAt,handle,name,slug,city,abbreviation,wins,losses,winPercentage,conference,division,established,colorSchemeId,logoId
1610612737,Mon Aug 09 2021 04:11:15 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:53:24 GMT-0600 (Mountain Daylight Time),1610612737,Hawks,hawks,Atlanta,ATL,41,31,0.569,East,Southeast,1949,27,nba/teams/1610612737
1610612738,Mon Aug 09 2021 04:11:17 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:53:53 GMT-0600 (Mountain Daylight Time),1610612738,Celtics,celtics,Boston,BOS,36,36,0.5,East,Atlantic,1946,28,nba/teams/1610612738
1610612751,Mon Aug 09 2021 04:11:13 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:20 GMT-0600 (Mountain Daylight Time),1610612751,Nets,nets,Brooklyn,BKN,48,24,0.667,East,Atlantic,1976,26,nba/teams/1610612751
1610612766,Mon Aug 09 2021 04:11:23 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:51 GMT-0600 (Mountain Daylight Time),1610612766,Hornets,hornets,Charlotte,CHA,33,39,0.458,East,Southeast,1988,30,nba/teams/1610612766
1610612741,Mon Aug 09 2021 04:11:03 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:15 GMT-0600 (Mountain Daylight Time),1610612741,Bulls,bulls,Chicago,CHI,31,41,0.431,East,Central,1966,3,nba/teams/1610612741
1610612739,Mon Aug 09 2021 04:11:20 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:42 GMT-0600 (Mountain Daylight Time),1610612739,Cavaliers,cavaliers,Cleveland,CLE,22,50,0.306,East,Central,1970,29,nba/teams/1610612739
1610612742,Mon Aug 09 2021 04:11:08 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:08 GMT-0600 (Mountain Daylight Time),1610612742,Mavericks,mavericks,Dallas,DAL,42,30,0.583,West,Southwest,1980,25,nba/teams/1610612742
1610612743,Mon Aug 09 2021 04:11:00 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:32 GMT-0600 (Mountain Daylight Time),1610612743,Nuggets,nuggets,Denver,DEN,47,25,0.653,West,Northwest,1976,22,nba/teams/1610612743
1610612765,Mon Aug 09 2021 04:11:02 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:58 GMT-0600 (Mountain Daylight Time),1610612765,Pistons,pistons,Detroit,DET,20,52,0.278,East,Central,1948,23,nba/teams/1610612765
1610612744,Mon Aug 09 2021 04:10:57 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:23 GMT-0600 (Mountain Daylight Time),1610612744,Warriors,warriors,Golden State,GSW,39,33,0.542,West,Pacific,1946,21,nba/teams/1610612744
1610612745,Mon Aug 09 2021 04:11:04 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:49 GMT-0600 (Mountain Daylight Time),1610612745,Rockets,rockets,Houston,HOU,17,55,0.236,West,Southwest,1967,24,nba/teams/1610612745
1610612754,Mon Aug 09 2021 04:10:59 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:17 GMT-0600 (Mountain Daylight Time),1610612754,Pacers,pacers,Indiana,IND,34,38,0.472,East,Central,1976,1,nba/teams/1610612754
1610612746,Mon Aug 09 2021 04:11:30 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:49 GMT-0600 (Mountain Daylight Time),1610612746,Clippers,clippers,LA,LAC,47,25,0.653,West,Pacific,1970,18,nba/teams/1610612746
1610612747,Mon Aug 09 2021 04:11:31 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:15 GMT-0600 (Mountain Daylight Time),1610612747,Lakers,lakers,Los Angeles,LAL,42,30,0.583,West,Pacific,1948,19,nba/teams/1610612747
1610612763,Mon Aug 09 2021 04:11:24 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:41 GMT-0600 (Mountain Daylight Time),1610612763,Grizzlies,grizzlies,Memphis,MEM,38,34,0.528,West,Southwest,1995,12,nba/teams/1610612763
1610612748,Mon Aug 09 2021 04:11:18 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:09 GMT-0600 (Mountain Daylight Time),1610612748,Heat,heat,Miami,MIA,40,32,0.556,East,Southeast,1988,9,nba/teams/1610612748
1610612749,Mon Aug 09 2021 04:11:25 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:35 GMT-0600 (Mountain Daylight Time),1610612749,Bucks,bucks,Milwaukee,MIL,46,26,0.639,East,Central,1968,13,nba/teams/1610612749
