id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
2868,Mon Aug 09 2021 04:49:38 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:29 GMT-0600 (Mountain Daylight Time),2868,Casey Smith,Trainer,3,1610612742,nba/coaches/2868
2871,Mon Aug 09 2021 04:49:05 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:30 GMT-0600 (Mountain Daylight Time),2871,Dionne Calhoun,Assistant Trainer,4,1610612742,nba/coaches/2871
2610,Mon Aug 09 2021 04:49:09 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:49 GMT-0600 (Mountain Daylight Time),2610,Michael Malone,Head Coach,1,1610612743,nba/coaches/2610
203600,Mon Aug 09 2021 04:50:06 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:50 GMT-0600 (Mountain Daylight Time),203600,David Adelman,Assistant Coach,2,1610612743,nba/coaches/203600
203391,Mon Aug 09 2021 04:49:14 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:51 GMT-0600 (Mountain Daylight Time),203391,Ryan Bowen,Assistant Coach,2,1610612743,nba/coaches/203391
203759,Mon Aug 09 2021 04:49:18 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:52 GMT-0600 (Mountain Daylight Time),203759,Jordi Fernandez,Assistant Coach,2,1610612743,nba/coaches/203759
203165,Mon Aug 09 2021 04:50:05 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:55 GMT-0600 (Mountain Daylight Time),203165,Bob Weiss,Assistant Coach,2,1610612743,nba/coaches/203165
1335,Mon Aug 09 2021 04:50:07 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:16 GMT-0600 (Mountain Daylight Time),1335,Dwane Casey,Head Coach,1,1610612765,nba/coaches/1335
204230,Mon Aug 09 2021 04:49:32 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:19 GMT-0600 (Mountain Daylight Time),204230,Tim Hardaway,Assistant Coach,2,1610612765,nba/coaches/204230
1336,Mon Aug 09 2021 04:49:35 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:21 GMT-0600 (Mountain Daylight Time),1336,Tim Grgurich,Assistant Coach,2,1610612765,nba/coaches/1336
201678,Mon Aug 09 2021 04:49:39 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:21 GMT-0600 (Mountain Daylight Time),201678,Jim Scholler,Trainer,3,1610612765,nba/coaches/201678
204260,Mon Aug 09 2021 04:49:42 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:42 GMT-0600 (Mountain Daylight Time),204260,Bruce Fraser,Assistant Coach,2,1610612744,nba/coaches/204260
1796,Mon Aug 09 2021 04:49:44 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:45 GMT-0600 (Mountain Daylight Time),1796,Ron Adams,Assistant Coach,2,1610612744,nba/coaches/1796
204239,Mon Aug 09 2021 04:49:41 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:49:42 GMT-0600 (Mountain Daylight Time),204239,Jarron Collins,Assistant Coach,2,1610612744,nba/coaches/204239
1630277,Mon Aug 09 2021 04:49:46 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:07 GMT-0600 (Mountain Daylight Time),1630277,Rick Higgins,Assistant Coach,2,1610612745,nba/coaches/1630277
1786,Mon Aug 09 2021 04:49:47 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:13 GMT-0600 (Mountain Daylight Time),1786,John Lucas,Assistant Coach,2,1610612745,nba/coaches/1786
1257,Mon Aug 09 2021 04:49:48 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:16 GMT-0600 (Mountain Daylight Time),1257,Keith Jones,Trainer,3,1610612745,nba/coaches/1257
203764,Mon Aug 09 2021 04:49:40 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:39 GMT-0600 (Mountain Daylight Time),203764,Tyler Marsh,Assistant Coach,2,1610612754,nba/coaches/203764
203785,Mon Aug 09 2021 04:49:25 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:40 GMT-0600 (Mountain Daylight Time),203785,Greg Foster,Assistant Coach,2,1610612754,nba/coaches/203785
1628782,Mon Aug 09 2021 04:49:36 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:41 GMT-0600 (Mountain Daylight Time),1628782,Mike Weinar,Assistant Coach,2,1610612754,nba/coaches/1628782
101200,Mon Aug 09 2021 04:49:45 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:43 GMT-0600 (Mountain Daylight Time),101200,Josh Corbeil,Trainer,3,1610612754,nba/coaches/101200
2345,Mon Aug 09 2021 04:49:49 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:33 GMT-0600 (Mountain Daylight Time),2345,Frank Vogel,Head Coach,1,1610612747,nba/coaches/2345
1353,Mon Aug 09 2021 04:49:50 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:37 GMT-0600 (Mountain Daylight Time),1353,Lionel Hollins,Assistant Coach,2,1610612747,nba/coaches/1353
203624,Mon Aug 09 2021 04:49:51 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:59 GMT-0600 (Mountain Daylight Time),203624,Taylor Jenkins,Head Coach,1,1610612763,nba/coaches/203624
1628234,Mon Aug 09 2021 04:49:53 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:03 GMT-0600 (Mountain Daylight Time),1628234,David McClure,Assistant Coach,2,1610612763,nba/coaches/1628234
